siteID,plotID,plotType,nlcdClass,elevation,collectDate,eventID,sampleID,samplingMethod,adultCount,nymphCount,larvaCount
HARV,HARV_006,distributed,deciduousForest,190.8,2018-05-14T16:55:00Z,HARV.2018.20,HARV_006.20180514,drag and flag,2,0,0
HARV,HARV_026,distributed,evergreenForest,187.3,2018-05-14T17:44:00Z,HARV.2018.20,HARV_026.20180514,drag and flag,2,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2018-05-14T18:39:00Z,HARV.2018.20,HARV_001.20180514,drag and flag,1,0,0
HARV,HARV_004,distributed,mixedForest,182.6,2018-05-15T15:14:00Z,HARV.2018.20,HARV_004.20180515,drag and flag,3,0,0
HARV,HARV_002,distributed,deciduousForest,187.7,2018-05-16T19:26:00Z,HARV.2018.20,HARV_002.20180516,drag and flag,3,0,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-06-06T13:11:00Z,HARV.2018.23,HARV_022.20180606,drag and flag,3,9,34
HARV,HARV_006,distributed,deciduousForest,190.8,2018-06-06T15:15:00Z,HARV.2018.23,HARV_006.20180606,drag and flag,3,2,3
HARV,HARV_026,distributed,evergreenForest,187.3,2018-06-06T16:26:00Z,HARV.2018.23,HARV_026.20180606,drag and flag,0,1,20
HARV,HARV_001,distributed,deciduousForest,202.1,2018-06-06T17:48:00Z,HARV.2018.23,HARV_001.20180606,drag and flag,3,1,1
HARV,HARV_004,distributed,mixedForest,182.6,2018-06-06T19:06:00Z,HARV.2018.23,HARV_004.20180606,drag and flag,2,0,0
HARV,HARV_002,distributed,deciduousForest,187.7,2018-06-07T13:54:00Z,HARV.2018.23,HARV_002.20180607,drag and flag,8,0,0
HARV,HARV_001,distributed,deciduousForest,202.1,2018-06-25T15:31:00Z,HARV.2018.26,HARV_001.20180625,drag and flag,0,1,0
HARV,HARV_006,distributed,deciduousForest,190.8,2018-06-25T16:57:00Z,HARV.2018.26,HARV_006.20180625,drag and flag,0,1,0
HARV,HARV_022,distributed,evergreenForest,185.9,2018-06-25T18:08:00Z,HARV.2018.26,HARV_022.20180625,drag and flag,0,9,4
HARV,HARV_002,distributed,deciduousForest,187.7,2018-06-26T14:03:00Z,HARV.2018.26,HARV_002.20180626,drag and flag,3,3,7
HARV,HARV_004,distributed,mixedForest,182.6,2018-06-26T15:17:00Z,HARV.2018.26,HARV_004.20180626,drag and flag,1,1,0
HARV,HARV_026,distributed,evergreenForest,187.3,2018-06-27T19:23:00Z,HARV.2018.26,HARV_026.20180627,drag and flag,4,2,0
